Date,GLD,TLT
2006-01-03,53.119998931884766,49.478668212890625
2006-01-04,53.29999923706055,49.59722137451172
2006-01-05,52.34000015258789,49.537940979003906
2006-01-06,53.720001220703125,49.4463005065918
2006-01-09,54.599998474121094,49.478668212890625
2006-01-10,54.060001373291016,49.07968521118164
2006-01-11,54.529998779296875,48.99885177612305
2006-01-12,54.43000030517578,49.327735900878906
2006-01-13,55.439998626708984,49.6133918762207
2006-01-17,55.2599983215332,49.83445739746094
2006-01-18,54.06999969482422,49.81825637817383
2006-01-19,55.59000015258789,49.67271423339844
2006-01-20,55.20000076293945,49.802127838134766
2006-01-23,55.77000045776367,49.785919189453125
2006-01-24,55.72999954223633,49.543365478515625
2006-01-25,56.13999938964844,49.00425720214844
2006-01-26,55.880001068115234,48.793983459472656
2006-01-27,55.630001068115234,48.793983459472656
2006-01-30,56.68000030517578,48.745479583740234
2006-01-31,56.70000076293945,48.88028335571289
2006-02-01,56.70000076293945,48.71308135986328
2006-02-02,56.97999954223633,48.805023193359375
2006-02-03,56.5,49.15130615234375
2006-02-06,56.720001220703125,49.24868392944336
2006-02-07,54.599998474121094,49.016056060791016
2006-02-08,54.83000183105469,48.902427673339844
2006-02-09,56.18000030517578,49.1242561340332
2006-02-10,54.790000915527344,48.853763580322266
2006-02-13,53.720001220703125,48.85913848876953
2006-02-14,54.4900016784668,48.68603515625
2006-02-15,53.7599983215332,48.805023193359375
2006-02-16,54.52000045776367,48.81584167480469
2006-02-17,54.959999084472656,49.20539093017578
2006-02-21,55.119998931884766,49.1242561340332
2006-02-22,55.34000015258789,49.45967483520508
2006-02-23,54.63999938964844,49.335201263427734
2006-02-24,55.63999938964844,49.25954055786133
2006-02-27,55.220001220703125,49.17836380004883
2006-02-28,56.06999969482422,49.42178726196289
2006-03-01,56.099998474121094,49.12321090698242
2006-03-02,56.7400016784668,48.78110885620117
2006-03-03,56.279998779296875,48.49882888793945
2006-03-06,55.22999954223633,48.07535934448242
2006-03-07,54.95000076293945,48.10794448852539
2006-03-08,53.970001220703125,48.09166717529297
2006-03-09,54.2400016784668,48.10794448852539
2006-03-10,53.83000183105469,47.92879867553711
2006-03-13,54.310001373291016,47.890785217285156
2006-03-14,54.869998931884766,48.21110153198242
2006-03-15,55.119998931884766,47.95048904418945
2006-03-16,55.34000015258789,48.38484573364258
2006-03-17,55.119998931884766,48.23825454711914
2006-03-20,55.16999816894531,48.31425476074219
2006-03-21,54.83000183105469,48.06454849243164
2006-03-22,54.75,48.167640686035156
2006-03-23,54.70000076293945,48.01563262939453
2006-03-24,55.709999084472656,48.36854553222656
2006-03-27,56.38999938964844,48.18934631347656
2006-03-28,56.060001373291016,47.738704681396484
2006-03-29,57.06999969482422,47.51072692871094
2006-03-30,58.599998474121094,47.17958068847656
2006-03-31,58.099998474121094,47.163291931152344
2006-04-03,58.470001220703125,47.178550720214844
2006-04-04,58.33000183105469,47.12950134277344
2006-04-05,58.65999984741211,47.19486999511719
2006-04-06,59.279998779296875,46.835182189941406
2006-04-07,58.59000015258789,46.377410888671875
2006-04-10,59.599998474121094,46.464622497558594
2006-04-11,59.0099983215332,46.62807083129883
2006-04-12,59.43000030517578,46.34473419189453
2006-04-13,59.5,46.01774215698242
2006-04-17,61.09000015258789,46.18666458129883
2006-04-18,61.849998474121094,46.26840591430664
2006-04-19,63.75,45.98504638671875
2006-04-20,60.959999084472656,45.9468879699707
2006-04-21,63.20000076293945,46.21389389038086
2006-04-24,61.650001525878906,46.39919662475586
2006-04-25,62.779998779296875,45.84876251220703
2006-04-26,63.650001525878906,45.772491455078125
2006-04-27,62.959999084472656,45.8323974609375
2006-04-28,65.08999633789062,45.86513137817383
2006-05-01,65.16000366210938,45.52046585083008
2006-05-02,66.55000305175781,45.64079284667969
2006-05-03,66.45999908447266,45.54233169555664
2006-05-04,67.4800033569336,45.465728759765625
2006-05-05,67.98999786376953,45.73930358886719
2006-05-08,67.55999755859375,45.766666412353516
2006-05-09,69.68000030517578,45.73930358886719
2006-05-10,70.37999725341797,45.821380615234375
2006-05-11,71.02999877929688,45.597049713134766
2006-05-12,71.12000274658203,45.219505310058594
2006-05-15,67.41000366210938,45.40008544921875
2006-05-16,68.61000061035156,45.73930358886719
2006-05-17,68.1500015258789,45.45479202270508
2006-05-18,67.45999908447266,46.07301330566406
2006-05-19,65.58000183105469,46.19342803955078
2006-05-22,65.30000305175781,46.291873931884766
2006-05-23,66.37999725341797,46.264495849609375
2006-05-24,64.05999755859375,46.286415100097656
2006-05-25,64.69999694824219,46.10584259033203
2006-05-26,65.0999984741211,46.07301330566406
2006-05-30,65.11000061035156,46.05116653442383
2006-05-31,64.2300033569336,45.777557373046875
2006-06-01,62.560001373291016,45.9819450378418
2006-06-02,63.5,46.57517623901367
2006-06-05,63.290000915527344,46.51475143432617
2006-06-06,62.54999923706055,46.734474182128906
2006-06-07,62.279998779296875,46.74546813964844
2006-06-08,60.90999984741211,46.83884811401367
2006-06-09,60.45000076293945,47.08604431152344
2006-06-12,60.029998779296875,47.124488830566406
2006-06-13,55.91999816894531,47.15741729736328
2006-06-14,55.619998931884766,46.685035705566406
2006-06-15,57.31999969482422,46.415916442871094
2006-06-16,57.68000030517578,46.3115119934082
2006-06-19,56.36000061035156,46.24562454223633
2006-06-20,57.29999923706055,46.1686897277832
2006-06-21,58.33000183105469,46.17970657348633
2006-06-22,57.72999954223633,45.91600799560547
2006-06-23,57.9900016784668,45.82262420654297
2006-06-26,58.279998779296875,45.734745025634766
2006-06-27,57.68000030517578,45.95991516113281
