Date,QQQ
2006-01-03,35.44365310668945
2006-01-04,35.81259536743164
2006-01-05,35.967037200927734
2006-01-06,36.61909484863281
2006-01-09,36.76496124267578
2006-01-10,36.79070281982422
2006-01-11,37.073829650878906
2006-01-12,36.89365005493164
2006-01-13,36.876502990722656
2006-01-17,36.636268615722656
2006-01-18,36.21583938598633
2006-01-19,36.48182678222656
2006-01-20,35.392181396484375
2006-01-23,35.400753021240234
2006-01-24,35.55519104003906
2006-01-25,35.400753021240234
2006-01-26,35.64957046508789
2006-01-27,36.130035400390625
2006-01-30,36.19867706298828
2006-01-31,36.0356559753418
2006-02-01,36.164363861083984
2006-02-02,35.546600341796875
2006-02-03,35.109039306640625
2006-02-06,35.01465606689453
2006-02-07,34.86021423339844
2006-02-08,35.26346969604492
2006-02-09,34.928855895996094
2006-02-10,35.143341064453125
2006-02-13,34.74010467529297
2006-02-14,35.09186553955078
2006-02-15,35.31494903564453
2006-02-16,35.64098358154297
2006-02-17,35.35786056518555
2006-02-21,34.96316909790039
2006-02-22,35.400753021240234
2006-02-23,35.30636978149414
2006-02-24,35.400753021240234
2006-02-27,35.79541778564453
2006-02-28,35.26346969604492
2006-03-01,35.743953704833984
2006-03-02,35.769691467285156
2006-03-03,35.563777923583984
2006-03-06,35.25489044189453
2006-03-07,35.04897689819336
2006-03-08,35.066131591796875
2006-03-09,34.76585006713867
2006-03-10,34.800167083740234
2006-03-13,34.90312957763672
2006-03-14,35.4951171875
2006-03-15,35.79541778564453
2006-03-16,35.4951171875
2006-03-17,35.58872604370117
2006-03-20,35.6745719909668
2006-03-21,35.29679489135742
2006-03-22,35.38263702392578
2006-03-23,35.279624938964844
2006-03-24,35.45991134643555
2006-03-27,35.468509674072266
2006-03-28,35.32255935668945
2006-03-29,35.99226760864258
2006-03-30,36.103878021240234
2006-03-31,36.0008430480957
2006-04-03,36.04377365112305
2006-04-04,36.241241455078125
2006-04-05,36.58467102050781
2006-04-06,36.687721252441406
2006-04-07,36.33568572998047
2006-04-10,36.2841796875
2006-04-11,35.99226760864258
2006-04-12,36.0008430480957
2006-04-13,36.146812438964844
2006-04-17,35.769039154052734
2006-04-18,36.455894470214844
2006-04-19,36.619041442871094
2006-04-20,36.490230560302734
2006-04-21,36.06093978881836
2006-04-24,36.0265998840332
2006-04-25,35.94932174682617
2006-04-26,35.940738677978516
2006-04-27,36.2841796875
2006-04-28,35.93215560913086
2006-05-01,35.58012771606445
2006-05-02,35.6745719909668
2006-05-03,35.6230583190918
2006-05-04,35.91501235961914
2006-05-05,36.19831085205078
2006-05-08,36.2326545715332
2006-05-09,36.095306396484375
2006-05-10,35.777618408203125
2006-05-11,34.97911071777344
2006-05-12,34.50688934326172
2006-05-15,34.48112869262695
2006-05-16,34.223548889160156
2006-05-17,33.759910583496094
2006-05-18,33.52809143066406
2006-05-19,33.78567886352539
2006-05-22,33.45939636230469
2006-05-23,33.133140563964844
2006-05-24,33.35636901855469
2006-05-25,33.79426193237305
2006-05-26,33.905887603759766
2006-05-30,33.17607116699219
2006-05-31,33.33061218261719
2006-06-01,34.12052917480469
2006-06-02,34.034645080566406
2006-06-05,33.2962646484375
2006-06-06,33.27051544189453
2006-06-07,33.02153015136719
2006-06-08,32.97000503540039
2006-06-09,32.75535202026367
2006-06-12,32.11140441894531
2006-06-13,31.982637405395508
2006-06-14,32.308902740478516
2006-06-15,33.18465042114258
2006-06-16,32.94066619873047
2006-06-19,32.67430877685547
2006-06-20,32.71726989746094
2006-06-21,33.23277282714844
2006-06-22,32.8117790222168
2006-06-23,32.77740478515625
2006-06-26,32.86333465576172
2006-06-27,32.244712829589844
2006-06-28,32.485286712646484
2006-06-29,33.47333526611328
2006-06-30,33.310089111328125
2006-07-03,33.5077018737793
2006-07-05,32.77740478515625
2006-07-06,32.743038177490234
2006-07-07,32.38218307495117
2006-07-10,32.0986442565918
2006-07-11,32.339237213134766
2006-07-12,31.729225158691406
2006-07-13,31.1965389251709
2006-07-14,30.87864112854004
2006-07-17,30.955955505371094
2006-07-18,31.059064865112305
2006-07-19,31.462867736816406
2006-07-20,30.998924255371094
2006-07-21,30.67244529724121
2006-07-24,31.282438278198242
2006-07-25,31.462867736816406
2006-07-26,31.437110900878906
2006-07-27,31.23088836669922
2006-07-28,31.883874893188477
2006-07-31,31.875286102294922
2006-08-01,31.34259033203125
2006-08-02,31.694854736328125
2006-08-03,31.892459869384766
2006-08-04,31.74639892578125
2006-08-07,31.540212631225586
2006-08-08,31.34259033203125
2006-08-09,31.38556480407715
2006-08-10,31.60894203186035
2006-08-11,31.38556480407715
2006-08-14,31.59174156188965
2006-08-15,32.390785217285156
2006-08-16,33.15543746948242
2006-08-17,33.275726318359375
2006-08-18,33.327274322509766
2006-08-21,33.0093879699707
2006-08-22,33.01798629760742
2006-08-23,32.768821716308594
2006-08-24,32.86333465576172
2006-08-25,32.923465728759766
2006-08-28,33.17262268066406
2006-08-29,33.275726318359375
2006-08-30,33.43038558959961
2006-08-31,33.39601135253906
2006-09-01,33.576438903808594
2006-09-05,33.90292739868164
2006-09-06,33.22417449951172
2006-09-07,33.06952667236328
2006-09-08,33.26713562011719
2006-09-11,33.47333526611328
2006-09-12,34.091941833496094
2006-09-13,34.32389831542969
2006-09-14,34.35828399658203
2006-09-15,34.48122787475586
2006-09-18,34.48979949951172
2006-09-19,34.25770568847656
2006-09-20,34.756282806396484
2006-09-21,34.5413932800293
2006-09-22,34.27490234375
2006-09-25,34.87665939331055
2006-09-26,35.048583984375
2006-09-27,35.00560760498047
